index,seconds_of_day,day_of_year,timestamp,weaDat.weaBus.HGloHor,weaBus.HDirNor,roomTempUpperSetpoint,weaBus.HDifHor,weaBus.TDryBul,thermalZone.TAir,totalHeatingPower.y,u
157,47100,1,47100,38.39290577342048,0.0,21.5,38.39290577342048,273.5079857187696,292.7962038068069,92.33194298706968,0.008447862816794867
158,47400,1,47400,37.8082788671024,0.0,21.5,37.8082788671024,273.51789191348513,292.6428264016147,95.08812038966872,0.008700037826251424
159,47700,1,47700,37.193014705882355,0.0,21.5,37.193014705882355,273.52025231124804,292.5523586814833,97.84429779226772,0.00895221283570798
160,48000,1,48000,36.530773420479306,0.0,21.5,36.530773420479306,273.5156006391599,292.4926397121317,86.81958818187142,0.007943512797881734
161,48300,1,48300,35.8052151416122,0.0,21.5,35.8052151416122,273.5044706243223,292.4468122126485,86.81958818187142,0.007943512797881734
162,48600,1,48600,35.0,0.0,21.5,35.0,273.4873959938366,292.4096825121733,95.08812038966872,0.008700037826251424
163,48900,1,48900,33.6633955408295,0.0,21.5,33.6633955408295,273.4649104748045,292.3800033147868,84.0634107792724,0.007691337788425177
164,49200,1,49200,31.473770475268296,0.0,21.5,31.473770475268296,273.43754779432743,292.34710653978306,9981.496463512622,0.9132517967469435
165,49500,1,49500,28.609936683006538,0.0,21.5,28.609936683006538,273.4058416795069,295.04365958304567,10754.604224941668,0.9839868868995094
166,49800,1,49800,25.250706043734365,0.0,21.5,25.250706043734365,273.37032585744447,296.70435496452143,10704.993031694885,0.9794477367292914
167,50100,1,50100,21.57489043714193,0.0,21.5,21.57489043714193,273.33153405524166,297.5820207189286,10714.639652603968,0.9803303492623882
168,50400,1,50400,17.761301742919386,0.0,21.5,17.761301742919386,273.28999999999996,298.05673968803393,1010.1390180525683,0.0924221409658304
169,50700,1,50700,13.988751840756876,0.0,21.5,13.988751840756876,273.2472574074074,295.63660762251527,88.19767688317104,0.008069600302610022
170,51000,1,51000,10.436052610344547,0.0,21.5,10.436052610344547,273.2044713804714,294.07453914938856,85.44149948057182,0.007817425293153447
