index,seconds_of_day,day_of_year,timestamp,T_out,weaBus.HDirNor,T_in,HGloHor,heatPower,roomTempUpperSetpoint,weaBus.HDifHor,u
3997,75900,14,1199100,278.8583333333333,0.0,295.1114181636314,0.0,10327.813919964858,22.5,0.0,0.5385818363685644
3998,76200,14,1199400,278.8666666666666,0.0,295.1111748209163,0.0,10332.480245694513,22.5,0.0,0.5388251790836875
3999,76500,14,1199700,278.875,0.0,295.1109415233574,0.0,10336.95394609373,22.5,0.0,0.5390584766425945
4000,76800,14,1200000,278.8833333333333,0.0,295.11071827095464,0.0,10341.235021163602,22.5,0.0,0.5392817290453422
4001,77100,14,1200300,278.89166666666665,0.0,295.11050506370816,0.0,10345.323470901947,22.5,0.0,0.5394949362918169
4002,77400,14,1200600,278.9,0.0,295.11030190161785,0.0,10349.219295310944,22.5,0.0,0.5396980983821322
4003,77700,14,1200900,278.9083333333333,0.0,295.11010182210146,0.0,10353.056008461912,22.5,0.0,0.5398981778985217
4004,78000,14,1201200,278.91666666666663,0.0,295.1099014977274,0.0,10356.897416989637,22.5,0.0,0.540098502272599
4005,78300,14,1201500,278.92499999999995,0.0,295.109706091447,0.0,10360.644516439454,22.5,0.0,0.5402939085529965
4006,78600,14,1201800,278.93333333333334,0.0,295.10951537200793,0.0,10364.301741292556,22.5,0.0,0.5404846279920434
4007,78900,14,1202100,278.94166666666666,0.0,295.10932910815814,0.0,10367.87352602578,22.5,0.0,0.5406708918418417
4008,79200,14,1202400,278.95,0.0,295.1091470686453,0.0,0.0,22.5,0.0,0.0
4009,79500,14,1202700,278.9572569444444,0.0,293.79165358012074,0.0,6871.630072696598,22.5,0.0,0.3583464198792399
4010,79800,14,1203000,278.9625,0.0,293.7834025372725,0.0,7029.851589703252,22.5,0.0,0.3665974627274977
