index,seconds_of_day,day_of_year,timestamp,weaBus.HDirNor,totalHeatingPower.y,thermalZone.TAir,weaBus.TDryBul,weaDat.weaBus.HGloHor,weaBus.HDifHor,roomTempUpperSetpoint,u
2270,76200,8,681000,0.0,5275.158021443241,298.76421453770416,278.84932741769546,0.0,0.0,23.0,0.9775564241583671
2271,76500,8,681300,0.0,5264.951988898207,298.7679564825734,278.8148046875,0.0,0.0,23.0,0.9756651115874428
2272,76800,8,681600,0.0,5258.828369371186,298.7691997657794,278.78076131687243,0.0,0.0,23.0,0.9745303240448884
2273,77100,8,681900,0.0,5256.106760692507,298.77004055340694,278.74715004501024,0.0,0.0,23.0,0.9740259740259746
2274,77400,8,682200,0.0,5265.632391067869,298.77113332537914,278.7139236111111,0.0,0.0,23.0,0.9757911990921699
2275,77700,8,682500,0.0,535.4765075294506,298.77520162842313,278.6810347543724,0.0,0.0,23.0,0.09923086622115761
2276,78000,8,682800,0.0,44.90654319814958,297.64396490878863,278.6484362139918,0.0,0.0,23.0,0.00832177531206658
2277,78300,8,683100,0.0,42.18493451947381,296.8274236772426,278.61608072916664,0.0,0.0,23.0,0.007817425293153447
2278,78600,8,683400,0.0,44.90654319814958,296.31910916827064,278.5839210390946,0.0,0.0,23.0,0.00832177531206658
2279,78900,8,683700,0.0,42.18493451947381,296.0019186734606,278.55190988297323,0.0,0.0,23.0,0.007817425293153447
2280,79200,8,684000,0.0,38.78292367112918,295.795645650084,278.52,0.0,0.0,23.0,0.007186987769512046
2281,79500,8,684300,0.0,42.18493451947381,295.65944953720833,278.4884790426587,0.0,0.0,23.0,0.007817425293153447
2282,79800,8,684600,0.0,39.46332584079815,295.56742436677615,278.4575942460317,0.0,0.0,23.0,0.007313075274240333
2283,80100,8,684900,0.0,42.86533668914278,295.5006261738092,278.42723772321426,0.0,0.0,23.0,0.007943512797881734
2284,80400,8,685200,0.0,41.50453234980495,295.45099380476194,278.39730158730157,0.0,0.0,23.0,0.007691337788425178
2285,80700,8,685500,0.0,38.10252150146021,295.4119820853633,278.3676779513889,0.0,0.0,23.0,0.007060900264783757
2286,81000,8,685800,0.0,40.82413018013598,295.3783866941593,278.3382589285714,0.0,0.0,23.0,0.0075652502836968906
2287,81300,8,686100,0.0,38.10252150146021,295.3492593783327,278.30893663194445,0.0,0.0,23.0,0.007060900264783757
2288,81600,8,686400,0.0,39.46332584079815,295.32251010720347,278.27960317460315,0.0,0.0,23.0,0.007313075274240333
2289,81900,8,686700,0.0,40.143728010467015,295.297879925855,278.25015066964284,0.0,0.0,23.0,0.007439162778968602
2290,82200,8,687000,0.0,39.46332584079815,295.27457988782237,278.2204712301587,0.0,0.0,23.0,0.007313075274240333
2291,82500,8,687300,0.0,42.18493451947381,295.2518206885571,278.190456969246,0.0,0.0,23.0,0.007817425293153447
2292,82800,8,687600,0.0,38.78292367112918,295.230488926796,278.15999999999997,0.0,0.0,23.0,0.007186987769512046
2293,83100,8,687900,0.0,42.86533668914278,295.2085606081701,278.1276708889857,0.0,0.0,23.0,0.007943512797881734
2294,83400,8,688200,0.0,38.78292367112918,295.18815353688615,278.0924937088656,0.0,0.0,23.0,0.007186987769512046
2295,83700,8,688500,0.0,43.545738858811745,295.16683003872544,278.0550408318815,0.0,0.0,23.0,0.008069600302610022
2296,84000,8,688800,0.0,42.18493451947381,295.14693481985756,278.01588463027485,0.0,0.0,23.0,0.007817425293153447
