index,seconds_of_day,day_of_year,timestamp,weaBus.TDryBul,weaBus.HDirNor,weaDat.weaBus.HGloHor,roomTempUpperSetpoint,totalHeatingPower.y,thermalZone.TAir,weaBus.HDifHor,u
834,77400,3,250200,271.84096291866024,0.0,0.0,21.0,20822.027432323004,297.82522463692976,0.0,0.9707476989030399
835,77700,3,250500,271.85119741826156,0.0,0.0,21.0,20946.434921852382,297.8900348509353,0.0,0.9765477241205398
836,78000,3,250800,271.86006379585325,0.0,0.0,21.0,2055.42808787706,297.95259521067635,0.0,0.09582650359349401
837,78300,3,251100,271.8659696471292,0.0,0.0,21.0,159.56612787466625,294.680032694063,0.0,0.007439162778968602
838,78600,3,251400,271.86732256778305,0.0,0.0,21.0,167.67965980049675,292.6825043018668,0.0,0.007817425293153447
839,78900,3,251700,271.86253015350877,0.0,0.0,21.0,162.27063851660986,291.64823309334463,0.0,0.00756525028369689
840,79200,3,252000,271.84999999999997,0.0,0.0,21.0,181.2022130102145,291.0970727983161,0.0,0.008447862816794867
841,79500,3,252300,271.8306785883213,0.0,0.0,21.0,178.49770236827086,290.79287710745405,0.0,0.00832177531206658
842,79800,3,252600,271.807224372205,0.0,0.0,21.0,162.27063851660986,290.6064006447779,0.0,0.00756525028369689
843,80100,3,252900,271.78061290634673,0.0,0.0,21.0,164.9751491585535,290.48173589281,0.0,0.007691337788425177
844,80400,3,253200,271.751819745442,0.0,0.0,21.0,164.9751491585535,290.3882610406407,0.0,0.007691337788425177
845,80700,3,253500,271.72182044418645,0.0,0.0,21.0,170.38417044244036,290.3109982520194,0.0,0.007943512797881734
846,81000,3,253800,271.6915905572755,0.0,0.0,21.0,183.90672365215775,290.2452271572553,0.0,0.008573950321523137
847,81300,3,254100,271.66210563940484,0.0,0.0,21.0,192.02025557798822,290.1861923962466,0.0,0.00895221283570798
848,81600,3,254400,271.63434124527004,0.0,0.0,21.0,183.90672365215775,290.13031180438605,0.0,0.008573950321523137
849,81900,3,254700,271.60927292956654,0.0,0.0,21.0,159.56612787466625,290.0738752621654,0.0,0.007439162778968602
850,82200,3,255000,271.58787624699,0.0,0.0,21.0,175.79319172632725,290.01483983494893,0.0,0.008195687807338292
851,82500,3,255300,271.57112675223595,0.0,0.0,21.0,178.49770236827086,289.96174624394604,0.0,0.00832177531206658
852,82800,3,255600,271.56,0.0,0.0,21.0,162.27063851660986,289.9102971587498,0.0,0.00756525028369689
853,83100,3,255900,271.55215423669466,0.0,0.0,21.0,175.79319172632725,289.8572825545347,0.0,0.008195687807338292
854,83400,3,256200,271.54461017740425,0.0,0.0,21.0,170.38417044244036,289.8086986553154,0.0,0.007943512797881734
855,83700,3,256500,271.5373870798319,0.0,0.0,21.0,156.861617232723,289.75966686457406,0.0,0.007313075274240332
856,84000,3,256800,271.5305042016806,0.0,0.0,21.0,167.67965980049675,289.7092963484069,0.0,0.007817425293153447
857,84300,3,257100,271.5239808006536,0.0,0.0,21.0,164.9751491585535,289.6632552894994,0.0,0.007691337788425177
858,84600,3,257400,271.5178361344538,0.0,0.0,21.0,170.38417044244036,289.61719551958026,0.0,0.007943512797881734
859,84900,3,257700,271.5120894607843,0.0,0.0,21.0,170.38417044244036,289.57332038822204,0.0,0.007943512797881734
860,85200,3,258000,271.5067600373483,0.0,0.0,21.0,167.67965980049675,289.5298288963257,0.0,0.007817425293153447
861,85500,3,258300,271.5018671218487,0.0,0.0,21.0,154.1571065907794,289.48611182875294,0.0,0.007186987769512046
862,85800,3,258600,271.49742997198877,0.0,0.0,21.0,162.27063851660986,289.44105481610694,0.0,0.00756525028369689
863,86100,3,258900,271.4934678454715,0.0,0.0,21.0,170.38417044244036,289.3992240196733,0.0,0.007943512797881734
864,0,4,259200,271.48999999999995,0.0,0.0,21.0,159.56612787466625,289.35931326943006,0.0,0.007439162778968602
865,300,4,259500,271.4868234126984,0.0,0.0,21.0,162.27063851660986,289.31760116302684,0.0,0.00756525028369689
866,600,4,259800,271.4837301587301,0.0,0.0,21.0,175.79319172632725,289.27761226533534,0.0,0.008195687807338292
867,900,4,260100,271.4807321428571,0.0,0.0,21.0,164.9751491585535,289.24036261077583,0.0,0.007691337788425177
868,1200,4,260400,271.47784126984124,0.0,0.0,21.0,167.67965980049675,289.2010588747447,0.0,0.007817425293153447
869,1500,4,260700,271.47506944444444,0.0,0.0,21.0,164.9751491585535,289.1631196946462,0.0,0.007691337788425177
870,1800,4,261000,271.47242857142857,0.0,0.0,21.0,170.38417044244036,289.12496733405123,0.0,0.007943512797881734
871,2100,4,261300,271.46993055555555,0.0,0.0,21.0,156.861617232723,289.08876609891274,0.0,0.007313075274240332
872,2400,4,261600,271.4675873015873,0.0,0.0,21.0,173.088681084384,289.05018243716984,0.0,0.008069600302610022
873,2700,4,261900,271.46541071428567,0.0,0.0,21.0,164.9751491585535,289.0157801045632,0.0,0.007691337788425177
874,3000,4,262200,271.4634126984127,0.0,0.0,21.0,159.56612787466625,288.97991856804754,0.0,0.007439162778968602
875,3300,4,262500,271.46160515873015,0.0,0.0,21.0,189.315744936045,288.94364818927477,0.0,0.008826125330979711
876,3600,4,262800,271.46,0.0,0.0,21.0,181.2022130102145,288.91343059583073,0.0,0.008447862816794867
877,3900,4,263100,271.45944444444444,0.0,0.0,21.0,181.2022130102145,288.8802110418464,0.0,0.008447862816794867
878,4200,4,263400,271.4605555555555,0.0,0.0,21.0,19561.72547317732,288.84738633878516,0.0,0.9119909216996601
